Years,Sales,Profit,A&D,Amort,ETR,InterestP&L,Op cash pre res,Restruct,InterestCash,TaxCash,Dividends,Acqs&disps,New equity,Other,RCF,Contingency,Leases,Otherdebt,LeaseInterest
2022,3841,455,-526,-350,0,-2,401,-35,-15,-109,-157,121,-373,-41,987,0,484,20,-21
2023,3769,573,-502,-335,0,-33,587,-63,-40,-97,-154,-215,-221,16,785,0,447,20,-19
2024,3641,590,-516,-344,0,-34,590,-9,-31,-109,-160,-66,-154,-18,785,-60,447,20,-18
2025,3815,630,-518,-345,0,-11,590,0,-11,-102,-168,-28,-40,-47,785,-143,447,20,-17
2026,4043,671,-531,-354,0,-2,671,0,1,-137,-176,-30,-40,-40,785,-240,447,20,-16
2027,4281,728,-538,-358,0,14,728,0,17,-144,-185,-21,-40,-52,785,-318,447,20,-16
2028,4533,792,-540,-360,0,34,792,0,37,-169,-194,-21,-40,-40,785,-447,447,20,-16
